# list1_substellar: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 2234316 candidate stars
# score: P_A (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
254,3968118399284369280,0.7575866,0.7575866,1,357,0.380999,False,False,False,False,False
255,4918791199593103872,0.75756095,0.75756095,0.12,358,0.077213,False,False,False,False,False
256,1718605226188014720,0.75752831,0.75752831,0.44,359,0.210303,False,False,False,False,False
257,6223582782147039360,0.75738232,0.75738232,0.8,360,0.160981,False,False,True,False,False
258,6811276832433631488,0.75727393,0.75727393,0.96,361,0.22067,False,False,False,False,False
259,4033819643587756416,0.75715349,0.75715349,0.12,362,0.3499,False,False,False,False,False
260,5454341323252066560,0.75685604,0.75685604,0,365,1.04009,False,False,False,False,False
261,660597997696173440,0.75671639,0.75671639,1,366,0.104865,False,False,False,False,False
262,650121816549971072,0.75632158,0.75632158,0,369,0.653087,False,True,False,False,False
263,4054002382121941376,0.75623618,0.75623618,0.08,370,0.643452,False,False,False,False,False
264,6543113505561272320,0.75603882,0.75603882,0.24,372,-0.215523,False,False,True,False,False
265,3417514655774754304,0.75600769,0.75600769,0.16,373,0.972455,False,False,False,False,False
266,1412432297740307456,0.75592593,0.75592593,0.76,374,0.405539,False,False,False,False,False
267,6643640891616635904,0.7559119,0.7559119,0.44,375,0.249001,False,True,False,False,False
268,1928108370769224704,0.75581434,0.75581434,0.88,376,-0.140197,False,False,False,False,False
269,2848646203058386560,0.75563368,0.75563368,1,379,0.302624,False,False,False,False,False
270,2348794198298597376,0.75553047,0.75553047,0.88,380,0.10873,False,False,False,False,False
271,6096328055131756288,0.75542388,0.75542388,0.4,382,-0.021984,False,False,True,False,False
272,6868107358662346112,0.75537752,0.75537752,1,383,1.059321,False,False,False,False,False
273,6200489258394667392,0.75523658,0.75523658,0,384,0.442617,False,False,False,False,False
274,1992715605301433856,0.75521486,0.75521486,1,385,0.7433,False,False,False,False,False
275,3197623290976364544,0.75515143,0.75515143,0.48,386,-0.136642,False,False,False,False,False
276,4912898156569562624,0.75500632,0.75500632,1,387,0.714746,False,False,False,False,False
277,6272325816233230848,0.75492751,0.75492751,0.72,388,-0.092278,False,False,False,False,False
278,2142532104762071040,0.75475158,0.75475158,0.08,390,0.217151,False,False,False,False,False
279,1016617320150713088,0.75468916,0.75468916,0.2,391,0.288138,False,False,False,False,False
280,817747655601865088,0.7546542,0.7546542,0.32,392,0.711176,False,False,False,False,False
281,1218674395892254080,0.75463197,0.75463197,0.56,393,-0.04318,False,False,False,False,False
282,2796096109960502400,0.75462805,0.75462805,0.72,394,0.443851,False,False,True,False,False
